subject_id,year,program_participation,age,education,prior_earnings,earnings,distance_to_office,score
1,2018,0,34,12,28000,30000,15,42
2,2018,1,28,16,22000,35000,3,55
3,2018,0,45,10,35000,36000,20,38
4,2018,1,31,14,25000,40000,5,62
5,2018,0,52,8,40000,41000,25,30
6,2018,1,26,18,18000,38000,2,70
7,2018,0,39,12,30000,31000,18,45
8,2018,1,33,16,23000,41000,4,58
9,2018,0,48,10,38000,39000,22,35
10,2018,1,29,14,21000,37000,6,65
11,2019,0,34,12,30000,31500,15,42
12,2019,1,28,16,22000,38000,3,55
13,2019,0,45,10,36000,37000,20,38
14,2019,1,31,14,26000,43000,5,62
15,2019,0,52,8,41000,42000,25,30
16,2019,1,26,18,19000,42000,2,70
17,2019,0,39,12,31000,32000,18,45
18,2019,1,33,16,24000,44000,4,58
19,2019,0,48,10,39000,40000,22,35
20,2019,1,29,14,22000,40000,6,65
21,2018,0,37,11,27000,29000,17,43
22,2018,1,30,15,24000,39000,4,57
23,2018,0,43,9,34000,35500,21,37
24,2018,1,27,17,20000,36000,3,68
25,2018,0,50,10,39000,40500,23,32
26,2019,0,37,11,29000,30500,17,43
27,2019,1,30,15,25000,42000,4,57
28,2019,0,43,9,35500,36500,21,37
29,2019,1,27,17,21000,39000,3,68
30,2019,0,50,10,40500,41500,23,32
